frame_id,yellow_frac,ventral_score,side
F00010,0.857,1.111,ventral
F00024,0.824,1.001,ventral
F00038,0.86,0.983,ventral
F00053,0.931,1.009,ventral
F00540,0.957,0.952,ventral
F00541,0.969,0.975,ventral
F00542,0.975,0.969,ventral
F00543,0.928,0.97,ventral
F00544,0.931,0.982,ventral
F00545,0.92,0.97,ventral
F00546,0.945,0.943,ventral
F00624,0.837,1.099,ventral
F00067,0.944,0.974,ventral
F00071,0.973,0.945,ventral
F00097,0.894,1.021,ventral
F00102,0.936,0.977,ventral
F00547,0.935,0.986,ventral
F00548,0.935,0.971,ventral
F00549,0.932,0.974,ventral
F00550,0.933,0.991,ventral
F00551,0.943,0.972,ventral
F00552,0.937,0.988,ventral
F00103,0.89,1.038,ventral
F00114,0.819,0.99,ventral
F00119,0.955,0.963,ventral
F00120,0.814,0.921,ventral
F00131,0.887,1.018,ventral
F00135,0.968,0.967,ventral
F00136,0.756,1.072,ventral
F00147,0.907,1.035,ventral
F00151,0.946,0.891,ventral
F00152,0.924,1.019,ventral
F00205,0.863,0.895,ventral
F00209,0.976,0.936,ventral
F00210,0.898,0.969,ventral
F00221,0.811,0.917,ventral
F00225,0.974,0.952,ventral
F00226,0.77,1.085,ventral
F00237,0.698,0.808,ventral
F00241,0.948,0.974,ventral
F00242,0.701,1.17,ventral
F00248,0.853,0.643,ventral
F00252,0.978,0.934,ventral
F00253,0.845,0.963,ventral
F00289,0.898,0.976,ventral
F00293,0.894,1.015,ventral
F00528,0.937,0.958,ventral
F00529,0.971,0.927,ventral
F00530,0.977,0.931,ventral
F00531,0.97,0.96,ventral
F00532,0.965,0.957,ventral
F00533,0.963,0.933,ventral
F00534,0.97,0.938,ventral
F00294,0.675,1.375,ventral
F00341,0.817,1.097,ventral
F00577,0.852,1.03,ventral
F00578,0.86,1.026,ventral
F00579,0.875,1.031,ventral
F00580,0.872,1.029,ventral
F00581,0.878,1.001,ventral
F00346,0.958,0.925,ventral
F00356,0.912,0.984,ventral
F00360,0.896,1.016,ventral
F00361,0.864,0.993,ventral
F00367,0.96,0.976,ventral
F00377,0.917,1.004,ventral
F00381,0.787,1.2,ventral
F00553,0.789,1.016,ventral
F00554,0.781,1.113,ventral
F00555,0.778,1.227,ventral
F00382,0.907,0.968,ventral
F00386,0.925,0.946,ventral
F00566,0.765,1.172,ventral
F00567,0.789,1.179,ventral
F00568,0.748,1.304,ventral
F00569,0.753,1.262,ventral
F00570,0.749,1.275,ventral
F00387,0.856,1.111,ventral
F00388,0.944,0.913,ventral
F00389,0.877,0.944,ventral
F00556,0.842,1.092,ventral
F00557,0.851,1.066,ventral
F00558,0.881,1.013,ventral
F00559,0.768,1.206,ventral
F00560,0.893,1.043,ventral
F00390,0.913,1.03,ventral
F00393,0.863,0.951,ventral
F00394,0.812,1.173,ventral
F00395,0.887,0.972,ventral
F00396,0.86,1.027,ventral
F00397,0.743,1.191,ventral
F00398,0.886,1.033,ventral
F00407,0.885,1.105,ventral
F00408,0.901,1.043,ventral
F00598,0.853,1.1,ventral
F00599,0.821,1.138,ventral
F00600,0.816,1.157,ventral
F00601,0.828,1.136,ventral
F00602,0.876,1.096,ventral
F00409,0.811,0.978,ventral
F00418,0.783,0.92,ventral
F00419,0.862,0.955,ventral
F00420,0.8,0.805,ventral
F00424,0.77,1.189,ventral
F00425,0.959,0.916,ventral
F00426,0.889,1.026,ventral
F00427,0.728,0.982,ventral
F00428,0.735,1.191,ventral
F00429,0.939,0.977,ventral
F00430,0.761,0.983,ventral
F00431,0.923,0.984,ventral
F00432,0.855,1.059,ventral
F00436,0.766,0.866,ventral
F00437,0.853,1.065,ventral
F00438,0.945,1.026,ventral
F00439,0.638,1.077,ventral
F00440,0.901,0.999,ventral
F00441,0.772,1.016,ventral
F00445,0.863,1.023,ventral
F00446,0.861,1.055,ventral
F00447,0.785,1.189,ventral
F00451,0.85,0.984,ventral
F00452,0.902,1.075,ventral
F00453,0.903,0.99,ventral
F00457,0.67,0.672,ventral
F00458,0.66,0.426,dorsal
F00459,0.652,0.815,ventral
F00483,0.568,0.667,ventral
F00484,0.674,0.954,ventral
F00610,0.624,1.036,ventral
F00611,0.615,1.065,ventral
F00485,0.657,0.731,ventral
F00495,0.623,0.944,ventral
F00496,0.744,1.175,ventral
F00605,0.643,1.086,ventral
F00497,0.611,1.068,ventral
F00504,0.514,0.651,ventral
F00505,0.642,0.815,ventral
F00506,0.624,0.851,ventral
F00516,0.761,0.786,ventral
F00517,0.708,0.96,ventral
F00518,0.662,0.673,ventral
F00519,0.757,0.79,ventral
F00520,0.8,0.994,ventral
F00521,0.688,0.715,ventral
F00522,0.752,0.855,ventral
F00523,0.764,1.017,ventral
F00524,0.833,0.902,ventral
F00525,0.709,0.919,ventral
F00526,0.611,0.745,ventral
F00527,0.612,1.086,ventral
